id,ta,kdmk,klpk,klpk_2,kdds,kdds2,jmax,jsisa,id_hari1,id_hari2,id_hari3,id_sesi1,id_sesi2,id_sesi3,id_ruang1,id_ruang2,id_ruang3,jns_jam,open_class
283564,20232,E127101,E12701,,1947,0,1,1,6,0,0,1,0,0,607,0,0,3,1
283563,20232,P34.1108,P34.11,,1678,1524,20,10,4,0,0,30,0,0,0,0,0,2,1
283562,20232,P34.1107,P34.11,,2020,90,20,10,3,0,0,27,0,0,0,0,0,2,1
283561,20232,P34.1106,P34.11,,97,0,20,10,1,0,0,31,0,0,0,0,0,2,1
283560,20232,P34.1105,P34.11,,96,2123,20,10,5,0,0,30,0,0,0,0,0,2,1
283559,20232,P34.1104,P34.11,,2123,52,20,10,4,0,0,27,0,0,0,0,0,2,1
283558,20232,P34.1103,P34.11,,90,69,20,10,3,0,0,30,0,0,0,0,0,2,1
283557,20232,P34.1102,P34.11,,612,0,20,10,2,0,0,31,0,0,0,0,0,2,1
283556,20232,P34.1101,P34.11,,95,96,20,10,1,0,0,27,0,0,0,0,0,2,1
283555,20232,C11.02504,C11.6.1,,24,0,1,1,3,0,0,7,0,0,0,0,0,1,1
283554,20232,E1144009,E11601,,119,0,5,1,6,0,0,1,0,0,607,0,0,3,1
283553,20232,C13.03102,C13.2.1,,1487,0,10,1,2,0,0,14,0,0,547,0,0,1,1
283552,20232,C13.01401,C13.4.1,,1719,0,10,1,1,0,0,17,0,0,109,0,0,1,1
283551,20232,D11.6655,D11.62PR,,1055,0,25,19,5,0,0,27,0,0,674,0,0,1,1
283549,20232,B11.7602,B11.6.INTL,,2240,0,40,29,3,0,0,18,0,0,11,0,0,3,1
283550,20232,B11.7710,B11.6.INTL,,1631,0,40,26,4,0,0,26,0,0,11,0,0,3,1
283547,20232,A17.1B512,A17.B801,,1981,0,5,1,1,2,3,1,1,1,599,599,599,0,1
283548,20232,A17.1B309,A17.B801,,1725,0,5,1,1,2,3,1,1,1,599,599,599,0,1
283546,20232,B11.7703,B11.6.INTL,,2060,0,40,27,1,0,0,18,0,0,11,0,0,3,1
283545,20232,B11.7603,B11.6.INTL,,1918,0,40,25,3,0,0,26,0,0,599,267,0,3,1
283544,20232,B11.7503,B11.6.INTL,,1595,0,40,27,2,0,0,18,0,0,799,0,0,3,1
283543,20232,A16.1A209,A16.A201,,2175,1052,25,1,2,2,0,17,22,0,480,480,0,1,1
283542,20232,B11.7601,B11.6.INTL,,2131,0,40,27,4,0,0,18,0,0,110,0,0,3,1
283541,20232,EF201805,E13801,,85,0,10,1,6,0,0,17,0,0,622,0,0,3,1
283540,20232,E132308,E13801,,2247,0,10,1,6,0,0,16,0,0,622,0,0,3,1
283539,20232,E131304,E13801,,2247,0,10,1,6,0,0,5,0,0,622,0,0,3,1
283538,20232,B11.7407,B11.4.INTL,,6,0,40,17,3,0,0,14,0,0,11,0,0,3,1
283537,20232,B11.7403,B11.4.INTL,,2244,0,40,16,5,0,0,12,0,0,116,0,0,3,1
283536,20232,B11.7601,B11.4.INTL,,0,0,40,0,1,0,0,31,0,0,267,0,0,3,0
283535,20232,B11.7713,B11.7.3,,2063,0,40,20,4,0,0,18,0,0,267,0,0,3,1
283534,20232,B11.7404,B11.4.INTL,,2128,0,40,20,4,0,0,18,0,0,11,0,0,3,1
283533,20232,B11.7406,B11.4.INTL,,1971,0,40,16,1,0,0,12,0,0,45,0,0,3,1
283532,20232,B11.7402,B11.4.INTL,,2134,0,40,17,3,0,0,26,0,0,48,0,0,3,1
283530,20232,B11.7405,B11.4.INTL,,2131,0,40,15,2,0,0,31,0,0,116,0,0,3,1
283531,20232,B11.7401,B11.4.INTL,,1280,0,40,15,2,0,0,18,0,0,11,0,0,3,1
283529,20232,A16.1A705,A16.A601,,1969,0,25,2,5,0,0,2,0,0,433,0,0,1,1
283527,20232,A12.66503,A12.6801,,176,0,1,1,1,0,0,23,0,0,541,0,0,1,1
283528,20232,N201702,A11.46UG,,1191,0,58,54,5,0,0,25,0,0,599,0,0,3,1
283526,20232,A16.1A203,A16.A201,,2175,1524,25,2,2,2,0,17,22,0,480,480,0,1,1
283524,20232,A16.1A606,A16.A601,,2175,24,25,2,2,2,0,17,22,0,480,480,0,1,1
283525,20232,A16.1A607,A16.A601,,2037,0,25,2,4,4,0,17,22,0,521,521,0,0,1
283523,20232,A16.1A208,A16.A201,,1807,0,25,2,3,0,0,26,0,0,468,0,0,1,1
283522,20232,A16.1A403,A16.A401,,1683,0,25,2,3,0,0,18,0,0,27,0,0,1,1
283521,20232,A16.1A406,A16.A401,,1683,0,25,2,5,5,0,7,14,0,470,470,0,1,1
283520,20232,A16.1A402,A16.A401,,2254,44,25,1,4,0,0,30,0,0,27,0,0,1,1
283519,20232,A16.1A401,A16.A401,,2023,61,25,1,1,0,0,18,0,0,479,0,0,1,1
283518,20232,A16.1A404,A16.A401,,2037,0,25,1,4,0,0,12,0,0,475,0,0,1,1
283517,20232,A16.1A604,A16.A601,,2037,0,25,1,3,3,0,7,14,0,483,483,0,1,1
283514,20232,A16.1A207,A16.A201,,1683,0,25,1,3,0,0,17,0,0,27,0,0,1,1
283515,20232,A16.1A204,A16.A201,,2024,1052,25,2,2,0,0,12,0,0,937,0,0,1,1
283516,20232,A16.1A205,A16.A201,,264,293,25,5,4,0,0,18,0,0,425,0,0,1,1
283511,20232,N201706,A11.46MBKM,,912,0,1,1,0,0,0,0,0,0,0,0,0,3,1
283513,20232,A16.1A206,A16.A201,,1969,0,25,3,1,1,0,27,30,0,476,476,0,1,1
283512,20232,C13.01502,C13.61,,1719,0,20,0,0,0,0,0,0,0,0,0,0,1,0
283509,20232,A12.66506,A12.6601,,15,0,35,6,2,0,0,18,0,0,478,0,0,3,1
283510,20232,E1143009,E11601,,1416,0,5,1,1,0,0,118,0,0,607,607,0,3,1
283508,20232,A12.66103,A12.6601,,20,0,35,6,3,0,0,12,0,0,522,0,0,3,1
283507,20232,A18.11801,A18.1201,,1702,0,40,2,7,0,0,0,0,0,599,0,0,3,1
283506,20232,A18.11704,A18.1201,,1197,0,40,2,7,0,0,0,0,0,599,0,0,3,1
283505,20232,A18.11613,A18.1201,,1682,0,40,5,5,0,0,21,0,0,599,0,0,1,1
283504,20232,A18.11612,A18.1201,,2173,0,40,6,3,0,0,17,0,0,599,0,0,1,1
283503,20232,A18.11611,A18.1201,,2461,0,40,6,2,0,0,2,0,0,599,0,0,1,1
283502,20232,A18.11604,A18.1201,,1702,0,40,6,3,0,0,7,0,0,599,0,0,1,1
283501,20232,A18.11602,A18.1201,,2461,0,40,3,4,0,0,26,0,0,599,0,0,1,1
283500,20232,A18.11603,A18.1201,,1702,0,40,10,1,0,0,17,0,0,599,0,0,3,1
283499,20232,A18.11601,A18.1201,,1050,0,40,18,2,0,0,26,0,0,599,0,0,3,1
283498,20232,A18.11504,A18.1201,,81,0,40,11,6,0,0,26,0,0,599,0,0,3,1
283497,20232,U201701,A18.1201,,74,0,40,29,3,0,0,14,0,0,599,0,0,1,1
283496,20232,A18.11502,A18.1201,,1540,0,40,18,1,3,0,24,23,0,599,599,0,3,1
283495,20232,A18.11406,A18.1201,,1539,0,40,14,1,5,0,27,30,0,599,599,0,2,1
283494,20232,A18.11405,A18.1201,,73,0,40,28,5,0,0,2,0,0,599,0,0,1,1
283493,20232,A18.11404,A18.1201,,209,0,40,34,2,0,0,31,0,0,599,0,0,2,1
283492,20232,A18.11403,A18.1201,,64,0,40,39,4,0,0,18,0,0,599,0,0,1,1
283491,20232,A18.11402,A18.1201,,2461,0,40,18,5,0,0,12,0,0,599,0,0,1,1
283490,20232,A18.11401,A18.1201,,1197,0,40,33,2,0,0,18,0,0,599,0,0,1,1
283488,20232,A18.11201,A18.1201,,2461,0,50,37,1,0,0,14,0,0,599,0,0,1,1
283489,20232,N201707,A18.1201,,872,0,40,0,1,0,0,7,0,0,599,0,0,1,0
283487,20232,N2017052,A11.46MBKM,,912,0,1,1,0,0,0,0,0,0,0,0,0,3,1
283466,20232,A18.11205,A18.1201,,1538,0,40,27,4,0,0,12,0,0,599,0,0,1,1
283467,20232,A18.11206,A18.1201,,1003,0,40,19,3,0,0,26,0,0,599,0,0,2,1
283465,20232,A18.11204,A18.1201,,54,120,40,21,3,0,0,30,0,0,599,0,0,2,1
283464,20232,A18.11203,A18.1201,,429,0,40,19,1,4,0,30,30,0,599,599,0,2,1
283463,20232,A18.11202,A18.1201,,766,0,40,27,2,0,0,12,0,0,599,0,0,1,1
283460,20232,A11.64603,A11.44UG1,,1540,0,37,37,1,0,0,18,0,0,424,0,0,3,1
283459,20232,C13.01501,C13.2.2,,2025,1857,20,15,6,0,0,14,0,0,543,0,0,1,1
283458,20232,C13.01501,C13.2.1,,2025,1857,20,14,6,0,0,7,0,0,543,0,0,1,1
283457,20232,B11.7705,B11.8.1K,,2430,0,20,3,6,0,0,18,0,0,754,0,0,3,1
283456,20232,B11.7701,B11.8.1K,,2100,0,20,3,5,0,0,18,0,0,756,0,0,3,1
