id_krs,kdmk,aksi,id_jadwal,lastUpdate,nim_dinus
4122874,P412206,1,275213,2024-09-05 00:00:00.000,965d20b11e5b9b1ecdddb6c2a738e80d
4122875,P412301,1,275214,2024-09-05 00:00:00.000,965d20b11e5b9b1ecdddb6c2a738e80d
4122876,P412401,1,275215,2024-09-05 00:00:00.000,965d20b11e5b9b1ecdddb6c2a738e80d
4001647,P412401,3,283329,2024-09-03 00:00:00.000,477a2e2af71c01b6ea9965f77163c32b
3996100,P412401,3,283329,2024-09-03 00:00:00.000,7a3cf644f8cba417b49f2415a9b7a035
4122542,P412301,1,283328,2024-09-03 00:00:00.000,477a2e2af71c01b6ea9965f77163c32b
4122543,P412301,1,283328,2024-09-03 00:00:00.000,7a3cf644f8cba417b49f2415a9b7a035
4004182,A11.64703,2,284771,2024-08-16 23:26:20.000,f1efac65939cb89caa4070334fe725b0
4004182,A11.64703,1,284771,2024-08-16 19:44:33.000,f1efac65939cb89caa4070334fe725b0
4004079,B12.6801,1,276959,2024-08-09 08:00:52.000,5958f64cb415bdc3ae0e17f73d935876
4004078,P31330442,1,283284,2024-08-08 09:10:40.000,86c1ddb1b9da17fbda1ac1c305e474d2
4004077,B12.6801,1,276959,2024-08-02 16:14:46.000,d263aa7f29800ba04bc6e8ad674b58cd
4004076,A11.64803,1,275655,2024-08-02 16:13:33.000,5daec555604b6bdeb97328f8617e6553
4004075,A11.64701,1,275589,2024-08-02 16:13:30.000,5daec555604b6bdeb97328f8617e6553
4004074,B11.7801,1,276841,2024-07-23 14:45:09.000,b8cade3378155fc73bc560605ddb1440
4004073,D11.6802,1,283083,2024-07-19 10:30:56.000,c69cb8bcc2b5b660e63e3d2dbe781454
4004072,B11.7801,1,276841,2024-07-18 14:24:16.000,d2c71e9c985a5e6edb7c16e060656468
4004071,P3214101,1,283391,2024-07-16 13:29:02.000,77c1c287df77ed4b85142c4674104e31
4004070,E125606,1,283576,2024-07-16 08:35:55.000,9b77bd5b68ed9c7887a81905016731d2
4004069,E1269011,1,283575,2024-07-16 08:35:37.000,9b77bd5b68ed9c7887a81905016731d2
4004068,E126902,1,283574,2024-07-16 08:35:23.000,9b77bd5b68ed9c7887a81905016731d2
4004067,E126908,1,283573,2024-07-16 08:35:03.000,9b77bd5b68ed9c7887a81905016731d2
4004066,P412206,1,283323,2024-07-15 13:44:03.000,f2342c077be9d280879ec66a8c65ec89
4004065,P412501,1,283330,2024-07-15 13:43:15.000,f2342c077be9d280879ec66a8c65ec89
4004064,P412601,1,283331,2024-07-15 13:43:04.000,f2342c077be9d280879ec66a8c65ec89
4004063,B11.7801,1,276841,2024-07-10 14:24:13.000,e93bb2e992c8d6ce4d60b3f23858ccc8
4004062,A11.64803,1,275655,2024-07-08 14:35:22.000,faa1893efe5239c722e7b94c0b2ce9da
4004061,A11.64803,1,275655,2024-07-06 07:28:39.000,5cd9adb5fe504612c0ea10e9769d2342
4004060,A11.64803,1,275655,2024-07-04 14:20:58.000,59e12b276c44214fa3a5f2da86acabe5
4004059,A16.1A702,1,283594,2024-07-04 12:05:04.000,121cbb8af4cf08ddecca9d933c761c51
4004058,A16.1A802,1,276381,2024-07-03 13:32:26.000,121cbb8af4cf08ddecca9d933c761c51
4004057,A16.1A801,1,276380,2024-07-03 13:32:17.000,121cbb8af4cf08ddecca9d933c761c51
4004056,A16.1A708,1,276379,2024-07-03 13:32:07.000,121cbb8af4cf08ddecca9d933c761c51
4004055,A16.1A705,1,283529,2024-07-03 13:31:55.000,121cbb8af4cf08ddecca9d933c761c51
4004054,A11.64803,1,275655,2024-07-03 12:41:59.000,6d4c484bfa64a507bbefedef09d23220
4004053,A11.64704,1,275615,2024-07-03 12:41:47.000,6d4c484bfa64a507bbefedef09d23220
4004052,A11.64701,1,275589,2024-07-03 12:41:35.000,6d4c484bfa64a507bbefedef09d23220
4004051,D11.6511,1,283593,2024-07-03 12:30:16.000,59612ba1d4906362e5acbd1630b82657
4004046,P412301,2,283328,2024-07-03 11:30:44.000,5bbc942847a431031806f39d7c3dec2f
4004050,D11.6619,1,283028,2024-07-03 10:42:28.000,59612ba1d4906362e5acbd1630b82657
4004049,U201702,1,277002,2024-07-03 10:39:07.000,59612ba1d4906362e5acbd1630b82657
4004048,D11.6621,1,283074,2024-07-03 10:34:43.000,59612ba1d4906362e5acbd1630b82657
4004047,D11.6802,1,283083,2024-07-03 10:31:29.000,59612ba1d4906362e5acbd1630b82657
4004046,P412301,1,283328,2024-07-03 09:43:27.000,5bbc942847a431031806f39d7c3dec2f
4000017,P412401,2,283329,2024-07-03 09:31:45.000,5bbc942847a431031806f39d7c3dec2f
4004045,P412206,1,283323,2024-07-03 09:31:35.000,5bbc942847a431031806f39d7c3dec2f
4001436,P412401,2,283329,2024-07-03 09:29:12.000,f83c76add4bc7c41e7995c899b29df58
4004044,P412206,1,283323,2024-07-03 09:29:05.000,f83c76add4bc7c41e7995c899b29df58
4004043,P412206,1,283323,2024-07-03 09:25:22.000,02e4a37acbfc2bcd3273dfc2fe7663c8
4004042,P412206,2,283323,2024-07-03 09:24:10.000,f83c76add4bc7c41e7995c899b29df58
4004042,P412206,1,283323,2024-07-03 09:23:09.000,f83c76add4bc7c41e7995c899b29df58
4004041,P31330442,1,283283,2024-07-02 14:45:23.000,940f3525f4a4a2c5eb13b52e75123e7d
4004040,D22.7503,1,283219,2024-07-01 14:13:36.000,63a3887ac4c06345724d586d4e5bb767
4004039,D22.7508,1,283221,2024-07-01 14:13:11.000,63a3887ac4c06345724d586d4e5bb767
4004038,P3211204,1,283256,2024-06-27 12:36:07.000,c0bd4f9d7fea1f9dcc8f154f5a55af75
4004037,P3214101,1,283391,2024-06-27 12:28:19.000,1490d77dc2dc00b79fa50129a453cf75
4004036,P31330442,1,283284,2024-06-27 11:04:39.000,0424b5090cb6efd7a1e9de2d9685ea41
