"id","jam","sks","jam_mulai","jam_selesai","status"
1,"07.00-08.40",2,"07:00:00","08:40:00",1
2,"07.00-09.30",3,"07:00:00","09:30:00",1
3,"11.10-12.00",1,"11:10:00","12:00:00",1
4,"07.50-09.30",2,"07:50:00","09:30:00",1
5,"07.50-10.20",3,"07:50:00","10:20:00",1
6,"08.40-09.30",1,"08:40:00","09:30:00",1
7,"08.40-10.20",2,"08:40:00","10:20:00",1
8,"08.40-11.10",3,"08:40:00","11:10:00",1
9,"08.40-11.20",3,"08:40:00","11:20:00",1
10,"09.30-11.10",2,"09:30:00","11:10:00",1
11,"09.30-11.20",2,"09:30:00","11:20:00",1
12,"09.30-12.00",3,"09:30:00","12:00:00",1
13,"09.30-12.10",3,"09:30:00","12:10:00",1
14,"10.20-12.00",2,"10:20:00","12:00:00",1
15,"11.10-13.20",2,"11:10:00","13:20:00",1
16,"10.50-12.30",2,"10:50:00","12:30:00",1
17,"12.30-14.10",2,"12:30:00","14:10:00",1
18,"12.30-15.00",3,"12:30:00","15:00:00",1
19,"13.00-14.40",2,"13:00:00","14:40:00",1
20,"13.20-15.00",2,"13:20:00","15:00:00",1
21,"13.20-15.50",3,"13:20:00","15:50:00",1
22,"14.10-15.00",1,"14:10:00","15:00:00",1
23,"14.10-15.50",2,"14:10:00","15:50:00",1
24,"14.40-16.20",2,"14:40:00","16:20:00",1
25,"15.30-17.10",2,"15:30:00","17:10:00",1
26,"15.30-18.00",3,"15:30:00","18:00:00",1
27,"16.20-18.00",2,"16:20:00","18:00:00",1
28,"17.10-18.00",1,"17:10:00","18:00:00",1
29,"17.10-19.20",2,"17:20:00","19:20:00",1
30,"18.30-20.10",2,"18:30:00","20:10:00",1
31,"18.30-21.00",3,"18:30:00","21:00:00",1
32,"19.20-21.00",2,"19:20:00","21:00:00",1
33,"19.40-21.20",2,"19:40:00","21:20:00",1
34,"20.10-21.50",2,"20:10:00","21:50:00",1
36,"21.00-21.50",1,"21:00:00","21:50:00",1
37,"21.50-22.40",2,"21:50:00","22:40:00",1
43,"10.20-12.50",3,"10:20:00","12:50:00",1
45,"14.10-17.10",3,"14:10:00","17:10:00",1
46,"14.10-16.20",2,"14:10:00","16:20:00",1
47,"13.20-16.20",3,"13:20:00","16:20:00",1
48,"10.20-11.10",1,"10:20:00","11:10:00",1
49,"07.00-07.50",1,"07:00:00","07:50:00",1
50,"07.50-08.40",1,"07:50:00","08:40:00",1
51,"15.50-17.30",2,"15:50:00","17:30:00",1
52,"13.20-14.10",1,"13:20:00","14:10:00",1
53,"16.20-17.10",1,"16:20:00","17:10:00",1
55,"07.00-09.00",2,"07:00:00","09:00:00",1
56,"07.00-10.00",3,"07:00:00","10:00:00",1
57,"09.00-11.00",2,"09:00:00","11:00:00",1
58,"11.00-13.00",2,"11:00:00","13:00:00",1
59,"13.00-15.00",2,"13:00:00","15:00:00",1
60,"10.00-12.00",2,"10:00:00","12:00:00",1
61,"12.00-15.00",3,"12:00:00","15:00:00",1
62,"12.30-15.30",3,"12:30:00","15:30:00",1
63,"11.00-14.00",3,"11:00:00","14:00:00",1
64,"12.30-13.20",1,"12:30:00","13:20:00",1
65,"07.00-08.00",1,"07:00:00","08:00:00",0
66,"10.00-11.00",1,"10:00:00","11:00:00",0
68,"08.00-11.00",3,"08:00:00","11:00:00",1
69,"09.30-11.30",0,"09:30:00","11:30:00",0
70,"12.30-14.30",0,"12:30:00","14:30:00",0
71,"15.00-15.50",1,"15:00:00","15:50:00",0
72,"16.20-18.50",3,"16:20:00","18:50:00",1
74,"07.00-15.00",10,"07:00:00","15:00:00",1
75,"07.00-12.00",6,"07:00:00","12:00:00",1
76,"15.00-16.20",2,"15:00:00","16:20:00",1
77,"12.00-13.40",2,"12:00:00","13:40:00",1
78,"19.00-21.30",3,"19:00:00","21:30:00",1
79,"13.00-15.30",3,"13:00:00","15:30:00",1
80,"09.00-11.30",3,"09:00:00","11:30:00",1
81,"10.30-12.10",2,"10:30:00","12:10:00",1
83,"11.10-14.10",3,"11:10:00","14:10:00",1
84,"16.20-19.20",3,"16:20:00","19:20:00",1
85,"17.10-20.10",3,"17:10:00","20:10:00",1
86,"09.30-10.20",1,"09:30:00","10:20:00",1
87,"07.30-10.00",3,"07:30:00","10:00:00",1
88,"10.30-13.00",3,"10:30:00","13:00:00",1
89,"13.30-16.00",3,"13:30:00","16:00:00",1
90,"09.00-10.40",2,"09:00:00","10:40:00",1
91,"18.30-19.20",1,"18:30:00","19:20:00",1
92,"10.20-13.20",3,"10:20:00","13:20:00",1
94,"20.10-21.00",1,"20:10:00","21:00:00",1
95,"12.00-12.30",1,"12:00:00","12:30:00",2
96,"15.00-15.30",1,"15:00:00","15:30:00",2
97,"15.30-16.20",1,"15:30:00","16:20:00",1
98,"18.00-18.30",1,"18:00:00","18:30:00",2
99,"19.20-20.10",1,"19:20:00","20:10:00",1
100,"08.00-10.00",2,"08:00:00","10:00:00",2
101,"10.30-12.30",2,"10:30:00","12:30:00",2
102,"15.30-17.30",2,"15:30:00","17:30:00",2
107,"15.50-18.20",2,"15:50:00","18:20:00",1
108,"12.40-16.30",2,"12:40:00","16:30:00",1
109,"07.15-09.45",3,"07:15:00","09:45:00",1
110,"07.00-10.20",2,"07:00:00","10:20:00",1
111,"10.20-13.40",2,"10:20:00","13:40:00",1
112,"13.40-15.20",2,"13:40:00","15:20:00",1
113,"15.20-17.00",2,"15:20:00","17:00:00",1
114,"17.00-18.40",2,"17:00:00","18:40:00",1
115,"18.40-19.20",2,"18:40:00","19:20:00",1
116,"13.40-17.00",4,"13:40:00","17:00:00",1
117,"18.40-20.10",2,"18:40:00","20:10:00",1
118,"16.00-18.30",3,"16:00:00","18:30:00",1
