"id","id_bentrok"
1,2
1,4
1,5
1,49
1,50
1,55
1,56
1,65
1,68
1,74
1,75
1,87
1,100
2,1
2,4
2,5
2,6
2,7
2,8
2,9
2,49
2,55
2,56
2,57
2,65
2,68
2,74
2,75
2,80
2,87
2,90
2,100
3,9
3,11
3,12
3,13
3,14
3,15
3,16
3,43
3,58
3,60
3,63
3,69
3,74
3,75
3,80
3,81
3,83
3,88
3,92
3,101
4,1
4,2
4,5
4,6
4,7
4,8
4,9
4,50
4,55
4,56
4,57
4,65
4,68
4,74
4,75
4,80
4,87
4,90
4,100
5,1
5,2
5,4
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,50
5,55
5,56
5,57
5,60
5,65
5,66
5,68
5,69
5,74
5,75
5,80
5,86
5,87
5,90
6,2
6,4
6,5
6,7
6,8
6,9
6,55
6,56
6,57
6,68
6,74
6,75
6,80
6,87
6,90
6,100
7,2
7,4
7,5
7,6
7,8
7,9
7,10
7,11
7,12
7,13
7,55
7,56
7,57
7,60
7,66
7,68
7,69
7,74
7,75
7,80
7,86
7,87
7,90
7,100
8,2
8,4
8,5
8,6
8,7
8,9
8,10
8,11
8,12
8,13
8,14
8,16
8,43
8,48
8,55
8,56
8,58
8,60
8,63
8,68
8,69
8,74
8,75
8,80
8,81
8,87
8,88
8,92
8,100
8,101
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,11
9,12
9,13
9,14
9,15
9,16
9,43
9,55
9,56
9,58
9,60
9,63
9,68
9,69
9,74
9,75
9,80
9,81
9,83
9,87
9,88
9,92
9,100
9,101
10,5
10,7
10,8
10,9
10,11
10,12
10,13
10,14
10,16
10,43
10,48
10,56
10,57
10,58
10,60
10,63
10,68
10,69
10,74
10,75
10,80
10,81
10,86
10,87
10,88
10,90
10,92
10,100
10,101
11,3
11,5
11,7
11,8
11,9
11,10
11,12
11,13
11,14
11,15
11,16
11,43
11,56
11,57
11,58
11,60
11,63
11,68
11,69
11,74
11,75
11,80
11,81
11,83
11,86
11,87
11,88
11,90
11,92
11,100
11,101
12,3
12,5
12,7
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,16
12,43
12,56
12,57
12,58
12,60
12,63
12,68
12,69
12,74
12,75
12,80
12,81
12,83
12,86
12,87
12,88
12,90
12,92
12,100
12,101
13,5
13,7
13,8
13,9
13,10
13,11
13,12
13,15
13,16
13,43
13,56
13,57
13,58
13,61
13,63
13,68
13,69
13,74
13,75
13,77
13,80
13,81
13,83
13,86
13,87
13,88
13,90
13,92
13,95
13,100
13,101
14,3
14,8
14,9
14,10
14,11
14,12
14,13
14,15
14,16
14,43
14,48
14,57
14,58
14,60
14,63
14,66
14,68
14,69
14,74
14,75
14,80
14,81
14,83
14,88
14,90
14,92
14,101
15,3
15,9
15,11
15,12
15,13
15,14
15,16
15,17
15,18
15,19
15,43
15,58
15,59
15,60
15,61
15,62
15,63
15,64
15,69
15,70
15,74
15,75
15,77
15,79
15,80
15,81
15,83
15,88
15,92
15,101
16,8
16,9
16,10
16,11
16,12
16,13
16,14
16,15
16,43
16,48
16,57
16,58
16,60
16,61
16,63
16,66
16,68
16,69
16,74
16,75
16,77
16,80
16,81
16,83
16,88
16,92
16,95
16,101
17,15
17,18
17,19
17,20
17,21
17,43
17,47
17,52
17,58
17,59
17,61
17,62
17,63
17,64
17,70
17,74
17,77
17,79
17,83
17,88
17,89
17,92
18,15
18,17
18,20
18,21
18,22
18,23
18,24
18,43
18,45
18,46
18,47
18,58
18,59
18,61
18,62
18,63
18,64
18,70
18,74
18,77
18,79
18,83
18,88
18,89
18,92
19,15
19,17
19,18
19,20
19,21
19,22
19,23
19,45
19,46
19,47
19,59
19,61
19,62
19,63
19,64
19,70
19,74
19,77
19,79
19,83
19,89
19,92
