"id","nim_dinus","job_date","job_host","job_agent","ta"
27036,"6b2a2a2b68e3b0252ffd026fb0c21666",2024-02-20 08:00:55.000,"119.47.90.27","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",20232
27037,"224c50c76967c1fcea520c6b1ecf1c90",2024-02-20 08:01:19.000,"66.96.225.96","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36",20232
27038,"5ff6152032e8294745a4b82df81abb47",2024-02-20 08:02:28.000,"36.72.254.29",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:122.0) Gecko/20100101 Firefox/122.0,20232
27039,b88b8f600277e291d5c7211fa46d8b77,2024-02-20 08:03:04.000,"36.71.81.163","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",20232
27040,"789fd8781403054cf496f8b925bec02c",2024-02-20 08:03:23.000,"182.253.89.3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",20232
27041,"88c7dc7500da9f7f7e09123c8ef359be",2024-02-20 08:04:52.000,"112.215.242.139","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36",20232
27042,"1f6c772e1b50bad4b6530a6f0ae9615b",2024-02-20 08:05:10.000,"110.137.195.119","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",20232
27043,"33f5cda80c5f2fc0bdb865cceb51550c",2024-02-20 08:05:22.000,"36.80.181.168","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",20232
27044,"51c2dc4d77c5a390fc8441986a8dd6c8",2024-02-20 08:05:22.000,"112.215.244.205","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",20232
27045,"862bb985f25fd78dcc0802686524162d",2024-02-20 08:06:37.000,"182.2.84.65","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2.1 Safari/605.1.15",20232
27046,bf68e5cc2e15b3f6c951ba0680077960,2024-02-20 08:06:40.000,"36.71.84.48","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",20232
27047,"06fcc769920c712227c3cf632cce4a37",2024-02-20 08:08:01.000,"202.80.214.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",20232
27048,e050732018d3f6a1880b82caea51599b,2024-02-20 08:08:20.000,"182.253.89.38","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",20232
27049,"8f80ad2f0cd9c25ac806c3f2d31ea2a0",2024-02-20 08:08:22.000,"36.75.65.209","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",20232
27050,a472919a3747f694c42319b366ccf476,2024-02-20 08:08:27.000,"114.10.99.193","Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1",20232
27051,a472919a3747f694c42319b366ccf476,2024-02-20 08:08:29.000,"114.10.99.193","Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1",20232
27052,a472919a3747f694c42319b366ccf476,2024-02-20 08:08:29.000,"114.10.99.193","Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1",20232
27053,a472919a3747f694c42319b366ccf476,2024-02-20 08:08:33.000,"114.10.99.193","Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1",20232
27054,a472919a3747f694c42319b366ccf476,2024-02-20 08:08:33.000,"114.10.99.193","Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1",20232
27055,a472919a3747f694c42319b366ccf476,2024-02-20 08:08:33.000,"114.10.99.193","Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1",20232
27056,a472919a3747f694c42319b366ccf476,2024-02-20 08:08:33.000,"114.10.99.193","Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1",20232
27057,a472919a3747f694c42319b366ccf476,2024-02-20 08:08:36.000,"114.10.99.193","Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1",20232
27058,ffe8b56b9003d896d9edd4ca550e705a,2024-02-20 08:10:12.000,"182.2.70.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",20232
27059,bb96523231dcec06703d57376082a183,2024-02-20 08:10:12.000,"110.136.168.99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",20232
